Weekday,TimestampDetected,Brand,StoreAddress,InventoryQty
Monday,2025-06-16 16:10:22,EAGLE RARE 10Y,"200 New Rand Road, Garner, NC 27529",6
Tuesday,2025-07-22 16:10:22,EAGLE RARE 10Y,"1222 New Bern Ave., Raleigh, NC 27401",3
Wednesday,2025-07-23 16:10:22,E.H. TAYLOR JR. SMALL BATCH,"6809 Davis Circle, Raleigh, NC 27612",6
Wednesday,2025-07-23 16:10:22,E.H. TAYLOR JR. SMALL BATCH,"1793 West Williams St., Apex, NC 27502",6
Wednesday,2025-07-23 16:10:22,E.H. TAYLOR JR. SMALL BATCH,"4009 Davis Dr., Morrisville, NC 27560",6
Wednesday,2025-07-23 16:10:22,E.H. TAYLOR JR. SMALL BATCH,"11360 Capital Blvd., Wake Forest, NC 27587",6
Wednesday,2025-07-23 16:10:22,E.H. TAYLOR JR. SMALL BATCH,"7911 ACC Blvd., Raleigh, NC 27617",6
Thursday,2025-07-24 16:10:22,E.H. TAYLOR JR. SMALL BATCH,"1420 N Ardendell Dr., Zebulon, NC 27597",6
Friday,2025-07-25 16:10:22,EAGLE RARE 10Y,"1415 E. Williams St., Apex, NC 27617",3
Friday,2025-07-25 16:10:22,EAGLE RARE 10Y,"6494 Tryon Rd., Cary, NC 27511",3
Wednesday,2025-08-06 16:10:22,E.H. TAYLOR JR. SMALL BATCH,"4009 Davis Dr., Morrisville, NC 27560",2
Tuesday,2025-08-12 14:33:36,WELLER FULL PROOF,"7911 ACC Blvd., Raleigh, NC 27617",6
Tuesday,2025-08-12 14:33:36,W.L. WELLER 12Y,"7911 ACC Blvd., Raleigh, NC 27617",12
Tuesday,2025-08-12 14:33:36,E.H. TAYLOR JR. SMALL BATCH,"7911 ACC Blvd., Raleigh, NC 27617",6
Tuesday,2025-08-12 14:33:36,BLANTON'S BOURBON,"1601-61 Cross Link Rd., Raleigh, NC 27610",6
Tuesday,2025-08-12 14:33:36,BLANTON'S BOURBON,"7911 ACC Blvd., Raleigh, NC 27617",6
Tuesday,2025-08-12 14:33:36,EAGLE RARE 10Y,"1601-61 Cross Link Rd., Raleigh, NC 27610",24
Tuesday,2025-08-12 14:33:36,EAGLE RARE 10Y,"7911 ACC Blvd., Raleigh, NC 27617",23
Wednesday,2025-08-13 19:22:28,WELLER FULL PROOF,"665 Cary Towne Blvd., Cary, NC 27511",5
Wednesday,2025-08-13 19:22:28,WELLER FULL PROOF,"100 Village Walk Dr., Holly Springs, NC 27540",6
Wednesday,2025-08-13 19:22:28,WELLER FULL PROOF,"4009 Davis Dr., Morrisville, NC 27560",6
Wednesday,2025-08-13 19:22:28,WELLER FULL PROOF,"420 Woodburn Rd., Raleigh, NC 27605",6
Wednesday,2025-08-13 19:22:28,WELLER FULL PROOF,"4215 The Circle at North Hills Rd, Raleigh, NC 27609",6
Wednesday,2025-08-13 19:22:28,W.L. WELLER 12Y,"665 Cary Towne Blvd., Cary, NC 27511",11
Wednesday,2025-08-13 19:22:28,W.L. WELLER 12Y,"100 Village Walk Dr., Holly Springs, NC 27540",12
Wednesday,2025-08-13 19:22:28,W.L. WELLER 12Y,"4009 Davis Dr., Morrisville, NC 27560",12
Wednesday,2025-08-13 19:22:28,W.L. WELLER 12Y,"420 Woodburn Rd., Raleigh, NC 27605",12
Wednesday,2025-08-13 19:22:28,W.L. WELLER 12Y,"4215 The Circle at North Hills Rd, Raleigh, NC 27609",12
Wednesday,2025-08-13 19:22:28,E.H. TAYLOR JR. SMALL BATCH,"665 Cary Towne Blvd., Cary, NC 27511",6
Wednesday,2025-08-13 19:22:28,E.H. TAYLOR JR. SMALL BATCH,"100 Village Walk Dr., Holly Springs, NC 27540",6
Wednesday,2025-08-13 19:22:28,E.H. TAYLOR JR. SMALL BATCH,"4009 Davis Dr., Morrisville, NC 27560",6
Wednesday,2025-08-13 19:22:28,E.H. TAYLOR JR. SMALL BATCH,"420 Woodburn Rd., Raleigh, NC 27605",6
Wednesday,2025-08-13 19:22:28,E.H. TAYLOR JR. SMALL BATCH,"4215 The Circle at North Hills Rd, Raleigh, NC 27609",6
Wednesday,2025-08-13 19:22:28,BLANTON'S BOURBON,"665 Cary Towne Blvd., Cary, NC 27511",5
Wednesday,2025-08-13 19:22:28,BLANTON'S BOURBON,"100 Village Walk Dr., Holly Springs, NC 27540",3
Wednesday,2025-08-13 19:22:28,BLANTON'S BOURBON,"4009 Davis Dr., Morrisville, NC 27560",6
Wednesday,2025-08-13 19:22:28,BLANTON'S BOURBON,"2109-106 Avent Ferry Rd., Raleigh, NC 27606",6
Wednesday,2025-08-13 19:22:28,BLANTON'S BOURBON,"420 Woodburn Rd., Raleigh, NC 27605",6
