ExpectedDate,AnnouncedDate,ConfirmedDate,Store,Brand,Board,Status,DaysSinceLast,Source
2026-07-22,,,"100 Village Walk Dr., Holly Springs, NC 27540",,Wake County ABC,Expected,32,drop_table_rule
2026-07-22,,,"1601-61 Cross Link Rd., Raleigh, NC 27610",,Wake County ABC,Expected,35,history_override_rule
2026-07-22,,,"4501 Vineyard Pine Ln., Rolesville, NC 27571",,Wake County ABC,Expected,65,drop_table_rule
2026-07-23,,,"6809 Davis Circle, Raleigh, NC 27612",,Wake County ABC,Expected,35,history_override_rule
2026-07-24,,,"1415 E. Williams St., Apex, NC 27617",,Wake County ABC,Expected,39,drop_table_rule
2026-07-24,,,"1420 N Ardendell Dr., Zebulon, NC 27597",,Wake County ABC,Expected,91,history_override_rule
2026-07-24,,,"4009 Davis Dr., Morrisville, NC 27560",,Wake County ABC,Expected,35,drop_table_rule
2026-07-24,,,"420 Woodburn Rd., Raleigh, NC 27605",,Wake County ABC,Expected,64,drop_table_rule
2026-07-24,,,"6494 Tryon Rd., Cary, NC 27511",,Wake County ABC,Expected,70,drop_table_rule
2026-07-28,,,"1505 Banyon Pl., Wendell, NC 27571",,Wake County ABC,Expected,28,drop_table_rule
2025-06-16,2025-06-16,,"200 New Rand Road, Garner, NC 27529",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-07-22,2025-07-22,,"1222 New Bern Ave., Raleigh, NC 27401",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-07-22,2025-07-23,,"11360 Capital Blvd., Wake Forest, NC 27587",E.H. TAYLOR JR. SMALL BATCH,Wake County ABC,Announced,,wake_delta
2025-07-23,2025-07-23,,"1793 West Williams St., Apex, NC 27502",E.H. TAYLOR JR. SMALL BATCH,Wake County ABC,Announced,,wake_delta
2025-07-23,2025-07-23,,"4009 Davis Dr., Morrisville, NC 27560",E.H. TAYLOR JR. SMALL BATCH,Wake County ABC,Announced,,wake_delta
2025-07-23,2025-07-23,,"6809 Davis Circle, Raleigh, NC 27612",E.H. TAYLOR JR. SMALL BATCH,Wake County ABC,Announced,,wake_delta
2025-07-23,2025-07-23,,"7911 ACC Blvd., Raleigh, NC 27617",E.H. TAYLOR JR. SMALL BATCH,Wake County ABC,Announced,,wake_delta
2025-07-24,2025-07-24,,"1420 N Ardendell Dr., Zebulon, NC 27597",E.H. TAYLOR JR. SMALL BATCH,Wake County ABC,Announced,,wake_delta
2025-07-25,2025-07-25,,"1415 E. Williams St., Apex, NC 27617",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-07-25,2025-07-25,,"6494 Tryon Rd., Cary, NC 27511",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-08-06,2025-08-06,,"4009 Davis Dr., Morrisville, NC 27560",E.H. TAYLOR JR. SMALL BATCH,Wake County ABC,Announced,,wake_delta
2025-08-12,2025-08-12,,"1601-61 Cross Link Rd., Raleigh, NC 27610",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
2025-08-12,2025-08-12,,"1601-61 Cross Link Rd., Raleigh, NC 27610",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-08-12,2025-08-12,,"7911 ACC Blvd., Raleigh, NC 27617",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
2025-08-12,2025-08-12,,"7911 ACC Blvd., Raleigh, NC 27617",E.H. TAYLOR JR. SMALL BATCH,Wake County ABC,Announced,,wake_delta
2025-08-12,2025-08-12,,"7911 ACC Blvd., Raleigh, NC 27617",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-08-12,2025-08-12,,"7911 ACC Blvd., Raleigh, NC 27617",W.L. WELLER 12Y,Wake County ABC,Announced,,wake_delta
2025-08-12,2025-08-12,,"7911 ACC Blvd., Raleigh, NC 27617",WELLER FULL PROOF,Wake County ABC,Announced,,wake_delta
2025-08-13,2025-08-13,,"100 Village Walk Dr., Holly Springs, NC 27540",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
2025-08-13,2025-08-13,,"100 Village Walk Dr., Holly Springs, NC 27540",E.H. TAYLOR JR. SMALL BATCH,Wake County ABC,Announced,,wake_delta
2025-08-13,2025-08-13,,"100 Village Walk Dr., Holly Springs, NC 27540",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-08-13,2025-08-13,,"100 Village Walk Dr., Holly Springs, NC 27540",W.L. WELLER 12Y,Wake County ABC,Announced,,wake_delta
2025-08-13,2025-08-13,,"100 Village Walk Dr., Holly Springs, NC 27540",WELLER FULL PROOF,Wake County ABC,Announced,,wake_delta
2025-08-13,2025-08-13,,"2109-106 Avent Ferry Rd., Raleigh, NC 27606",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
2025-08-13,2025-08-13,,"2109-106 Avent Ferry Rd., Raleigh, NC 27606",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-08-13,2025-08-13,,"4009 Davis Dr., Morrisville, NC 27560",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
2025-08-13,2025-08-13,,"4009 Davis Dr., Morrisville, NC 27560",E.H. TAYLOR JR. SMALL BATCH,Wake County ABC,Announced,,wake_delta
2025-08-13,2025-08-13,,"4009 Davis Dr., Morrisville, NC 27560",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-08-13,2025-08-13,,"4009 Davis Dr., Morrisville, NC 27560",W.L. WELLER 12Y,Wake County ABC,Announced,,wake_delta
